CountryName,className,Decreasing,Increasing,NA,Stable,Unknown
AmericanSamoa,MAMMALIA,3,1,0,1,17
AmericanSamoa,POLYCHAETA,0,0,1,0,0
AmericanSamoa,POLYPODIOPSIDA,0,0,0,6,0
AmericanSamoa,REPTILIA,7,1,0,11,2
Andorra,ACTINOPTERYGII,0,0,0,0,20
Andorra,AGARICOMYCETES,0,0,0,22,0
Andorra,AMPHIBIA,2,0,0,2,0
Andorra,ANDREAEOPSIDA,1,0,0,0,1
Andorra,AVES,65,31,0,34,2
Andorra,BIVALVIA,1,1,0,0,4
Andorra,BRYOPSIDA,0,0,0,1,1
Andorra,CEPHALASPIDOMORPHI,0,0,0,0,1
Andorra,GASTROPODA,3,4,1,41,23
Andorra,INSECTA,24,6,0,31,35
Andorra,JUNGERMANNIOPSIDA,0,0,0,1,0
Andorra,LECANOROMYCETES,0,1,0,3,0
Andorra,LILIOPSIDA,0,0,0,9,13
Andorra,LYCOPODIOPSIDA,0,0,0,0,1
Andorra,MAGNOLIOPSIDA,8,1,0,51,35
Andorra,MALACOSTRACA,1,0,0,0,0
Andorra,MAMMALIA,14,3,0,24,10
Andorra,PINOPSIDA,0,2,0,5,0
Andorra,POLYPODIOPSIDA,0,0,0,3,2
Andorra,REPTILIA,2,0,0,4,0
Angola,ACTINOPTERYGII,37,3,0,117,893
Angola,AMPHIBIA,19,4,0,16,101
Angola,ARACHNIDA,1,0,0,2,0
Angola,AVES,307,74,0,519,55
Angola,BIVALVIA,1,0,0,1,21
Angola,CEPHALOPODA,1,0,0,0,35
Angola,CHONDRICHTHYES,70,1,0,17,5
Angola,CYCADOPSIDA,0,0,0,2,0
Angola,GASTROPODA,0,2,1,9,52
Angola,GNETOPSIDA,1,0,0,0,0
Angola,HOLOTHUROIDEA,0,0,1,0,5
Angola,INSECTA,4,4,1,16,535
Angola,LILIOPSIDA,13,7,0,205,154
Angola,LYCOPODIOPSIDA,0,0,0,2,3
Angola,MAGNOLIOPSIDA,94,0,16,776,329
Angola,MALACOSTRACA,1,0,0,7,15
Angola,MAMMALIA,58,9,0,101,164
Angola,MYXINI,0,0,0,0,1
Angola,PINOPSIDA,0,0,0,1,0
Angola,POLYPODIOPSIDA,1,1,0,23,10
Angola,REPTILIA,15,1,3,176,68
Angola,SARCOPTERYGII,0,0,0,0,1
Anguilla,ACTINOPTERYGII,46,1,0,135,870
Anguilla,AMPHIBIA,0,2,0,0,0
Anguilla,ANTHOZOA,5,1,0,33,14
Anguilla,ARACHNIDA,0,0,0,1,0
Anguilla,AVES,64,39,0,35,14
Anguilla,BIVALVIA,0,0,0,0,1
Anguilla,CEPHALOPODA,0,0,0,0,16
Anguilla,CHONDRICHTHYES,37,1,0,11,1
Anguilla,GASTROPODA,0,0,0,2,9
Anguilla,HOLOTHUROIDEA,0,0,0,1,19
Anguilla,HYDROZOA,0,0,0,2,0
Anguilla,INSECTA,0,0,0,1,0
Anguilla,LECANOROMYCETES,0,0,0,1,0
Anguilla,LILIOPSIDA,0,1,0,41,5
Anguilla,MAGNOLIOPSIDA,13,0,0,87,22
Anguilla,MALACOSTRACA,1,0,0,3,18
Anguilla,MAMMALIA,1,1,0,2,26
Anguilla,POLYPODIOPSIDA,0,0,0,5,1
Anguilla,REPTILIA,6,2,1,3,7
